date;qobs;p;epot;temp;ss;u;l;saturation;qs;ep;qif;pn;qof;ea;g;dl;qr1;qr2;bf;qsim
05-02-1971;20;0;0,525;4,2;0;4,225;100;1;0;0,525;0,25;0;0;0;0;0;0,713424337;0,713424337;0,883993749;19,5055102
06-02-1971;19,4;0;0,525;4,5;0;3,48875;100;1;0;0,525;0,21125;0;0;0;0;0;0,515834132;0,515834132;0,882227529;17,07123903
07-02-1971;19,2;0,4;0,525;5;0;3,1893125;100;1;0;0,525;0,1744375;0;0;0;0;0;0,381505024;0,381505024;0,880464837;15,40946995
08-02-1971;17,5;0,36;0,525;5,6;0;2,864846875;100;1;0;0,525;0,159465625;0;0;0;0;0;0,294139328;0,294139328;0,878705667;14,32119757
09-02-1971;17,35;0;0,525;5,6;0;2,196604531;100;1;0;0,525;0,143242344;0;0;0;0;0;0,234765991;0,234765991;0,876950012;13,57477296
10-02-1971;17,3;0,27;0,525;4,4;0;1,831774305;100;1;0;0,525;0,109830227;0;0;0;0;0;0,185607598;0,185607598;0,875197865;12,95312226
11-02-1971;16,6;0;0,525;2,9;0;1,215185589;100;1;0;0,525;0,091588715;0;0;0;0;0;0,14861405;0,14861405;0,873449218;12,48005496
12-02-1971;17;0;0,525;3,7;0;0,62942631;100;1;0;0,525;0,060759279;0;0;0;0;0;0,114045892;0,114045892;0,871704065;12,03664589
13-02-1971;18,7;11,85;0,525;5;0;5;100;1;0;0,525;0,031471315;6,922954994;2,076886498;0;4,846068496;0;0,898746488;0,898746488;0,878676606;21,70348801
14-02-1971;23,25;5,95;0,525;4;0;5;100;1;0;0,525;0,25;5,175;1,5525;0;3,6225;0;1,254345786;1,254345786;0,883434992;26,10368891
15-02-1971;23,6;2,35;0,525;4,1;0;5;100;1;0;0,525;0,25;1,575;0,4725;0;1,1025;0;1,045080776;1,045080776;0,883652405;23,55108224
16-02-1971;22,85;2,16;0,525;3,5;0;5;100;1;0;0,525;0,25;1,385;0,4155;0;0,9695;0;0,895727378;0,895727378;0,883630222;21,72710959
17-02-1971;22,2;6,11;0,525;2,9;0;5;100;1;0;0,525;0,25;5,335;1,6005;0;3,7345;0;1,271401132;1,271401132;0,88858011;26,37477096
18-02-1971;22,2;0,45;0,525;2,2;0;4,675;100;1;0;0,525;0,25;0;0;0;0;0;0,869511102;0,869511102;0,886804726;21,44575462
19-02-1971;21,3;5,37;0,525;2,2;0;5;100;1;0;0,525;0,23375;4,28625;1,285875;0;3,000375;0;1,125310989;1,125310989;0,890428167;24,61348159
20-02-1971;21,2;0,17;0,525;2,4;0;4,395;100;1;0;0,525;0,25;0;0;0;0;0;0,780902951;0,780902951;0,88864909;20,38631255
